Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'dino_model': 'vit_small_patch16_dinov3', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 17, 'backbone_tag': 'dino_s16', 'run_name': 'dino_s16_2000C_5pct_seed17', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading DINOv3 backbone (vit_small_patch16_dinov3)...
DINOv3 image feature dim: 384
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1125: 3.4482
Client 972: 3.3196
Client 927: 3.5329
Client 24: 3.5109
Client 602: 3.2807
Client 539: 3.7140
Client 376: 3.4701
Client 16: 3.3102
Client 1692: 3.6232
Client 1846: 2.8403
Client 957: 3.3812
Client 690: 3.5460
Client 1540: 3.6640
Client 106: 3.5702
Client 547: 3.5112
Client 201: 3.9807
Client 1060: 3.9066
Client 1366: 3.5816
Client 1432: 3.9277
Client 31: 3.3474
Client 56: 3.1254
Client 231: 3.4545
Round avg loss: 3.6724 (Best: 3.6678)

--- Round 4/20 ---
Client 966: 3.6291
Client 1454: 3.8889
Client 1855: 3.6481
Client 617: 3.6304
Client 1253: 3.6700
Client 417: 3.5089
Client 1597: 3.5770
Client 202: 4.2096
Client 1593: 3.5644
Client 1860: 3.9791
Client 1679: 3.6136
Client 1714: 3.7100
Client 53: 3.8196
Client 932: 3.0558
Client 1098: 3.4687
Client 1681: 3.4290
Client 1555: 3.5021
Client 1892: 3.9544
Client 454: 3.9726
Client 1776: 3.7869
Client 1329: 3.9645
Client 61: 3.6277
Client 1741: 3.8228
Client 819: 3.7438
Client 1626: 4.0661
Client 251: 3.2549
Client 876: 3.8259
Client 1957: 3.4522
Client 119: 3.9381
Client 1512: 3.2048
Client 1104: 3.7362
Client 122: 3.1345
Client 385: 3.5760
Client 1995: 3.6116
Client 1103: 3.6460
Client 537: 3.7984
Client 551: 3.8583
Client 730: 3.8315
Client 711: 3.9970
