Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'clip_model': 'ViT-B-16-quickgelu', 'clip_pretrained': 'openai', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.01, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 27, 'backbone_tag': 'clip_b16', 'run_name': 'clip_b16_2000C_1pct_seed27', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading CLIP backbone (ViT-B-16-quickgelu, pretrained=openai)...
CLIP feature dim (mean-pool all 197 tokens, pre-proj): 768
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Round avg loss: 3.9243 (Best: 3.7334)

--- Round 15/20 ---
Client 193: 4.3539
Client 1143: 3.5629
Client 1225: 3.8768
Client 1118: 3.5999
Client 1569: 3.3358
Client 908: 3.7030
Client 748: 4.1238
Client 675: 3.7694
Client 1300: 3.5880
Client 1029: 4.1305
Client 426: 4.0239
Client 802: 3.4680
Client 1425: 4.0770
Client 390: 3.2501
Client 331: 3.3644
Client 17: 4.0963
Client 716: 4.0911
Client 492: 3.7309
Client 1067: 4.1619
Client 410: 3.6845
Round avg loss: 3.7996 (Best: 3.7334)

--- Round 16/20 ---
Client 1487: 3.9199
Client 659: 3.3162
Client 1860: 3.7677
Client 1972: 3.9071
Client 778: 3.9674
Client 963: 3.5681
Client 692: 3.4909
Client 135: 4.0944
Client 501: 3.3161
Client 1218: 4.0212
Client 150: 3.2458
Client 1192: 3.9489
Client 1567: 4.2194
Client 1501: 4.0075
Client 1782: 4.0063
Client 98: 3.6314
Client 1427: 3.6975
Client 1629: 3.1974
Client 1294: 3.9420
Client 266: 4.4328
Round avg loss: 3.7849 (Best: 3.7334)

--- Round 17/20 ---
Client 96: 4.0152
Client 1703: 4.2788
Client 1238: 2.5661
Client 1003: 3.8378
Client 1115: 3.8507
Client 191: 3.2360
Client 917: 3.9455
Client 212: 3.6580
Client 1349: 3.1166
Client 1532: 3.7031
Client 274: 3.8901
Client 629: 3.6472
Client 1347: 3.8891
Client 1174: 4.0872
Client 1740: 3.8885
Client 995: 4.0383
Client 1914: 3.4751
Client 1437: 4.1054
Client 679: 3.8453
Client 1470: 3.9681
Round avg loss: 3.7521 (Best: 3.7334)

--- Round 18/20 ---
Client 1084: 3.8829
Client 1974: 3.6495
Client 1106: 3.4778
Client 783: 3.8407
Client 1704: 3.6088
Client 688: 3.5325
Client 1274: 3.9855
Client 1879: 3.4742
Client 129: 3.9235
Client 1023: 3.9662
Client 707: 3.9777
Client 740: 3.9747
Client 1522: 3.9699
Client 987: 3.5677
Client 1930: 3.2935
Client 616: 4.2387
Client 1634: 3.6485
Client 998: 3.8332
Client 385: 3.8062
Client 1259: 3.5471
Round avg loss: 3.7599 (Best: 3.7334)

--- Round 19/20 ---
Client 1634: 3.5239
Client 1339: 3.6254
Client 453: 3.4492
Client 1081: 3.9364
Client 1503: 3.9681
Client 1257: 3.4529
Client 1138: 3.8058
Client 491: 3.5125
Client 456: 4.4550
Client 1493: 4.3682
Client 715: 3.9139
Client 221: 2.6633
Client 631: 4.1661
Client 1416: 3.8376
Client 604: 3.7889
Client 1315: 3.5516
Client 337: 4.1536
Client 1565: 3.5959
Client 825: 3.6261
Client 1000: 4.2670
Round avg loss: 3.7831 (Best: 3.7334)

--- Round 20/20 ---
Client 545: 3.5781
Client 860: 3.7109
Client 536: 4.2111
Client 58: 3.9841
Client 1706: 4.0180
Client 368: 4.0066
Client 224: 4.0082
Client 1078: 3.6357
Client 945: 3.6951
Client 1093: 3.4965
Client 84: 3.7448
Client 1562: 3.6642
Client 116: 4.0346
Client 914: 3.6301
Client 1737: 3.4187
Client 494: 3.9320
Client 1605: 3.9076
Client 538: 3.3492
Client 1904: 3.9892
Client 202: 3.9490
Round avg loss: 3.7982 (Best: 3.7334)
Projector checkpoint saved to fl_results/checkpoints/projector_clip_b16_wco_l4_ifcb_pml_clip_b16_2000C_1pct_seed27_20260528_074352.pt

Running final evaluations...

>>> Evaluating on 'wco_l4_ifcb_pml' <<<
[wco_l4_ifcb_pml] Linear split: 43525 train, 10882 val, 18135 test
Linear Epoch 5: Train Loss=2.3579, Val Acc=52.81%
Linear Epoch 10: Train Loss=1.7145, Val Acc=63.34%
Linear Epoch 15: Train Loss=1.4375, Val Acc=67.97%
Linear Epoch 20: Train Loss=1.2969, Val Acc=70.85%
Linear Epoch 25: Train Loss=1.2085, Val Acc=72.40%
Linear Epoch 30: Train Loss=1.1486, Val Acc=74.01%
Linear Epoch 35: Train Loss=1.1096, Val Acc=74.47%
Linear Epoch 40: Train Loss=1.0882, Val Acc=74.97%
Linear Epoch 45: Train Loss=1.0592, Val Acc=75.51%
Linear Epoch 50: Train Loss=1.0465, Val Acc=75.71%
[wco_l4_ifcb_pml] Linear accuracy: 75.63% | Val accuracy: 75.79%
