Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'dino_model': 'vit_base_patch16_dinov3', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 17, 'backbone_tag': 'dino_b16', 'run_name': 'dino_b16_2000C_5pct_seed17', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading DINOv3 backbone (vit_base_patch16_dinov3)...
DINOv3 image feature dim: 768
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1943: 3.3424
Client 1675: 3.9322
Client 1546: 3.7469
Client 1818: 3.1166
Client 1339: 4.1831
Client 1281: 3.5284
Client 1584: 3.8337
Client 1839: 3.4274
Client 1625: 4.3660
Client 527: 3.7751
Client 485: 4.0620
Client 443: 3.6988
Client 436: 3.7096
Client 1115: 3.0851
Client 1776: 3.4232
Round avg loss: 3.5881 (Best: 3.5810)

--- Round 6/20 ---
Client 756: 3.5480
Client 1718: 3.3010
Client 1488: 3.7951
Client 893: 3.4123
Client 768: 3.4371
Client 553: 3.4563
Client 1935: 3.6425
Client 161: 3.3757
Client 630: 3.4350
Client 828: 3.5621
Client 1989: 3.4982
Client 1861: 3.0714
Client 1324: 3.8091
Client 416: 3.6079
Client 1804: 3.3509
Client 646: 3.0869
Client 24: 3.2375
Client 72: 3.7434
Client 1779: 3.6574
Client 1165: 3.5906
Client 1192: 3.6072
Client 123: 3.6791
Client 720: 3.7871
Client 1382: 3.3377
Client 1331: 3.8179
Client 1007: 3.8834
Client 827: 3.3804
Client 866: 3.4813
Client 1249: 3.5741
Client 531: 3.3293
Client 1411: 3.6791
Client 619: 3.2411
Client 920: 3.3778
Client 1828: 3.8416
Client 1581: 3.8887
Client 1926: 3.4609
Client 332: 3.4943
Client 1540: 3.3225
Client 849: 3.4481
Client 436: 3.4676
Client 387: 3.3057
Client 426: 3.7821
Client 1748: 3.1579
Client 742: 3.7540
Client 1509: 3.9409
Client 1793: 3.8510
Client 1448: 3.3900
Client 1930: 3.6810
Client 401: 3.2657
Client 471: 3.6519
Client 1565: 3.5992
Client 1297: 3.6993
Client 1724: 3.3636
Client 777: 4.1025
Client 146: 3.5363
Client 932: 2.7363
Client 1349: 3.7503
Client 404: 3.7912
Client 727: 4.0565
Client 1477: 3.8149
Client 1025: 3.7707
Client 1601: 3.1823
Client 256: 2.7367
Client 1924: 3.4676
Client 1196: 3.6507
Client 991: 4.0787
Client 1510: 3.8911
Client 904: 4.0614
Client 1667: 4.1184
Client 1323: 3.5783
Client 179: 3.8353
Client 268: 3.7699
Client 482: 3.6704
Client 1799: 4.1009
Client 892: 3.1285
Client 1572: 3.6391
Client 806: 3.9778
Client 466: 3.2996
Client 1403: 3.6408
Client 822: 3.5304
Client 775: 4.1234
Client 995: 3.5020
Client 685: 4.0435
Client 1744: 3.7225
Client 1785: 3.3296
Client 1418: 3.9215
Client 1627: 4.1267
Client 489: 3.1181
Client 669: 4.1011
Client 1947: 3.7557
Client 790: 3.8905
Client 1904: 3.5987
Client 438: 3.7135
Client 1756: 3.3916
Client 355: 3.6930
Client 1009: 3.2584
Client 23: 4.1038
Client 969: 3.5817
Client 200: 3.6990
Client 832: 3.3171
Round avg loss: 3.6007 (Best: 3.5810)

--- Round 7/20 ---
Client 1788: 3.1330
Client 1332: 3.7388
Client 986: 3.7904
Client 203: 3.6329
Client 1965: 3.3444
Client 376: 3.0684
Client 1017: 3.5582
Client 62: 3.5823
Client 541: 3.3755
Client 966: 3.3006
Client 264: 3.6798
Client 407: 4.1369
Client 321: 3.2461
Client 525: 3.6827
Client 300: 3.7759
Client 73: 3.4408
Client 1755: 3.2103
Client 254: 3.6800
Client 596: 2.9111
Client 903: 3.7611
Client 110: 3.3863
Client 179: 3.5628
Client 1841: 3.6753
Client 606: 3.4616
Client 1737: 3.8440
Client 1254: 3.9065
Client 1323: 3.3166
Client 532: 3.6484
Client 1088: 3.5820
Client 637: 3.7863
Client 1325: 3.7143
Client 775: 3.8745
Client 1059: 3.5928
Client 539: 3.3270
Client 1657: 3.6386
Client 1153: 4.1106
Client 69: 3.5985
Client 1590: 3.4439
Client 1326: 3.4433
Client 63: 3.7892
Client 1452: 3.8448
Client 1098: 3.0737
Client 583: 3.7251
Client 1095: 2.5940
Client 1252: 3.7590
Client 1880: 3.7800
Client 146: 3.2993
Client 1441: 2.6489
Client 113: 3.8456
Client 562: 3.8973
Client 603: 3.8823
Client 1261: 3.8090
Client 719: 3.7258
Client 1844: 3.5215
Client 1948: 3.6682
