Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'resnet_model': 'resnet18', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 27, 'backbone_tag': 'resnet18', 'run_name': 'resnet18_2000C_5pct_seed27', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading ResNet backbone (resnet18, weights=IMAGENET1K_V1)...
ResNet image feature dim: 512
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1225: 3.6747
Client 1118: 3.4210
Client 1569: 3.1815
Client 908: 3.5048
Client 748: 3.9348
Client 675: 3.5351
Client 1300: 3.3495
Client 1029: 3.8651
Client 426: 3.8843
Client 802: 3.2534
Client 1425: 3.8540
Client 390: 3.0932
Client 331: 3.1384
Client 17: 3.8629
Client 716: 3.8134
Client 492: 3.5845
Client 410: 3.4851
Client 1487: 3.7438
Client 659: 3.0613
Client 1860: 3.5767
Client 1972: 3.6975
Client 778: 3.7061
Client 963: 3.3627
Client 692: 3.2399
Client 135: 3.8240
Round avg loss: 3.6264 (Best: 3.6217)

--- Round 4/20 ---
Client 501: 3.1589
Client 1218: 3.7352
Client 150: 3.0686
Client 1192: 3.7207
Client 1567: 3.9476
Client 1501: 3.8066
Client 1782: 3.8170
Client 98: 3.3626
Client 1427: 3.5228
Client 1629: 2.8883
Client 1294: 3.6668
Client 266: 4.2224
Client 96: 3.8158
Client 1703: 4.0901
Client 1238: 2.3490
Client 1003: 3.6520
Client 1115: 3.6468
Client 191: 3.0809
Client 917: 3.7678
Client 212: 3.4598
Client 1349: 2.8657
Client 1532: 3.5509
Client 274: 3.6492
Client 629: 3.5032
Client 1347: 3.7317
Client 1174: 3.9003
Client 1740: 3.7069
Client 995: 3.8216
Client 1914: 3.2175
Client 1437: 3.8819
Client 679: 3.6664
Client 1470: 3.7855
Client 1084: 3.7151
Client 1974: 3.4578
Client 1106: 3.2556
Client 783: 3.5893
Client 1704: 3.3513
Client 688: 3.2960
Client 1274: 3.7589
Client 1879: 3.1772
Client 129: 3.7188
Client 1023: 3.7329
Client 707: 3.7477
Client 740: 3.7460
Client 1522: 3.7349
Client 987: 3.4278
Client 1930: 3.0804
Client 616: 4.0122
Client 1634: 3.5118
Client 998: 3.6299
Client 385: 3.6551
Client 1259: 3.3091
Client 1339: 3.4268
Client 453: 3.2541
Client 1081: 3.7219
Client 1503: 3.7983
Client 1257: 3.1853
Client 1138: 3.6646
Client 491: 3.2192
Client 456: 4.2528
Client 1493: 4.1402
Client 715: 3.7254
Client 221: 2.4841
Client 631: 3.9343
Client 1416: 3.5091
Client 604: 3.5384
Client 1315: 3.3733
Client 337: 3.9516
Client 1565: 3.3345
Client 825: 3.2353
Client 1000: 4.0570
Client 545: 3.3967
Client 860: 3.5063
Client 536: 4.0508
Client 58: 3.7729
Client 1706: 3.8342
Client 368: 3.8468
Client 224: 3.7944
Client 1078: 3.4209
Client 945: 3.5375
Client 1093: 3.2563
Client 84: 3.5379
Client 1562: 3.4641
Client 116: 3.8767
Client 914: 3.4337
Client 1737: 3.1760
Client 494: 3.7181
Client 1605: 3.6519
Client 538: 3.1304
Client 1904: 3.7376
Client 202: 3.7621
Client 226: 3.6820
Client 312: 3.8031
Client 1591: 3.5173
Client 500: 3.8356
Client 609: 3.6532
Client 1129: 3.9774
Client 1616: 3.4489
Client 1451: 3.9883
Client 1160: 3.7311
Round avg loss: 3.5832 (Best: 3.5832)

--- Round 5/20 ---
Client 1678: 3.9336
Client 886: 3.5525
Client 1268: 3.8321
Client 1905: 3.3325
Client 529: 3.5249
Client 561: 3.8450
Client 1095: 3.1007
Client 83: 3.5654
Client 1724: 3.9925
Client 356: 3.2006
Client 1320: 3.2305
Client 114: 3.4131
Client 1545: 3.0498
Client 935: 3.3727
Client 1978: 3.7734
Client 1495: 3.6059
Client 253: 3.4697
Client 174: 4.1565
Client 1585: 3.8368
Client 500: 3.6637
Client 1965: 3.5712
Client 1622: 3.8321
Client 1105: 3.4052
Client 1832: 3.1731
Client 689: 3.2163
Client 1403: 3.2810
Client 1307: 3.2989
Client 307: 3.0076
Client 225: 4.0830
Client 1477: 3.2354
Client 1551: 3.8306
Client 47: 3.7172
Client 1520: 4.0071
Client 466: 3.4562
Client 50: 3.1472
Client 1673: 3.5559
Client 1090: 3.8921
Client 525: 3.2862
Client 1011: 3.5790
Client 695: 3.9299
Client 1498: 3.5714
Client 5: 2.8336
Client 871: 3.5997
Client 1291: 3.2350
Client 1093: 3.0194
Client 45: 3.6851
Client 764: 3.7586
Client 576: 3.5105
Client 1376: 3.4954
Client 195: 3.7481
Client 254: 3.6762
Client 365: 3.8146
Client 1707: 3.6022
Client 1252: 3.3060
Client 1626: 3.7195
Client 1813: 3.5392
Client 361: 3.7124
Client 39: 3.6418
Client 1147: 3.0911
Client 584: 3.0101
Client 996: 4.0150
Client 1700: 3.5760
Client 1321: 3.5886
Client 1522: 3.5862
Client 1962: 3.9263
Client 92: 3.4553
Client 762: 3.5977
Client 1425: 3.6878
Client 1200: 3.6275
Client 252: 3.3474
Client 1008: 3.9007
Client 1323: 3.7164
Client 309: 3.7442
Client 672: 3.9339
Client 952: 3.5064
Client 691: 3.5714
Client 1983: 3.3861
Client 574: 3.3806
Client 1511: 3.5767
Client 1512: 3.6125
Client 409: 3.7203
Client 1210: 3.8418
Client 682: 2.8135
Client 530: 3.6837
Client 394: 3.8053
Client 1587: 3.7386
Client 840: 3.1640
Client 1028: 4.0169
Client 943: 3.6654
Client 1096: 3.7158
Client 277: 3.5535
Client 133: 3.9749
Client 882: 3.2189
Client 1331: 3.3168
Client 890: 3.9575
Client 803: 3.6013
Client 1741: 3.6680
Client 1308: 3.5657
Client 1999: 4.9950
Client 1204: 3.3598
Round avg loss: 3.5764 (Best: 3.5764)

--- Round 6/20 ---
Client 788: 3.6704
Client 698: 3.8931
Client 890: 3.7357
Client 892: 3.8703
Client 1771: 3.5347
Client 328: 4.0355
Client 1849: 3.2239
Client 143: 3.8580
Client 252: 3.1502
Client 286: 3.4559
Client 1870: 3.6857
Client 1406: 2.9594
Client 880: 4.0493
Client 1598: 3.6696
Client 385: 3.4484
Client 1581: 3.4954
Client 1520: 3.8302
Client 290: 3.7537
Client 1838: 3.7971
Client 579: 4.2088
Client 1005: 3.1015
Client 1863: 3.0151
Client 1042: 3.8250
Client 1478: 3.6375
Client 1916: 3.7808
Client 797: 3.6646
Client 679: 3.4728
Client 1526: 3.6614
Client 366: 3.4940
Client 548: 3.7583
Client 684: 3.6608
Client 191: 2.8530
Client 207: 3.5308
Client 1858: 3.5393
Client 1786: 3.7166
Client 1766: 3.5411
Client 145: 4.1120
Client 1012: 3.4733
Client 338: 3.3492
Client 857: 3.4622
Client 57: 3.6810
Client 1874: 3.6576
Client 1064: 3.5797
Client 1141: 3.6084
Client 30: 3.3301
Client 1984: 3.6117
Client 1750: 3.8261
Client 21: 3.7038
Client 1320: 3.0617
Client 1327: 3.1888
Client 376: 4.0444
Client 520: 3.6386
Client 1035: 3.9078
Client 1462: 3.2634
Client 998: 3.4491
Client 1884: 3.4647
Client 1959: 3.8361
Client 43: 3.3381
Client 628: 2.7218
Client 1375: 3.3753
Client 1633: 4.2275
Client 1669: 4.0145
Client 1623: 3.7160
Client 990: 3.5894
Client 1808: 3.5221
Client 251: 3.4716
Client 1762: 3.4540
Client 1014: 4.2514
Client 1122: 4.4888
Client 1422: 3.6634
Client 834: 3.4368
Client 1101: 4.0485
Client 803: 3.3724
Client 1155: 3.4051
Client 796: 3.3339
Client 663: 3.9205
Client 1780: 3.5787
Client 669: 3.9196
Client 1136: 3.5054
Client 500: 3.5039
Client 3: 3.3700
Client 1491: 3.5066
Client 516: 3.9263
Client 24: 3.0122
Client 1404: 3.3625
Client 1222: 3.4701
Client 1672: 3.8395
Client 1359: 3.7375
Client 1736: 3.6779
Client 916: 3.7304
Client 864: 3.5576
Client 337: 3.7770
Client 1593: 3.9542
Client 1388: 3.5990
Client 1029: 3.6419
Client 771: 3.4692
Client 117: 3.4214
Client 451: 3.1417
Client 1477: 3.0396
Client 1367: 3.5746
Round avg loss: 3.5950 (Best: 3.5764)

--- Round 7/20 ---
Client 1989: 3.7581
Client 1097: 4.2449
Client 861: 3.8976
Client 1763: 3.5616
Client 1127: 3.7582
Client 88: 3.5798
Client 1025: 3.4877
Client 1150: 3.9942
Client 563: 3.8555
Client 384: 3.3829
Client 1273: 3.7127
Client 1690: 3.2632
Client 1786: 3.5893
Client 261: 3.4571
Client 265: 3.9024
Client 1026: 3.8801
Client 1448: 3.2830
Client 1831: 3.2632
Client 999: 3.4599
Client 395: 4.0165
Client 19: 3.4504
Client 1549: 3.5843
Client 1020: 3.2701
Client 1998: 2.7046
Client 1126: 3.4207
Client 897: 3.4428
Client 1915: 3.6916
Client 1004: 3.7736
Client 394: 3.5784
Client 166: 3.3971
Client 1272: 3.8158
Client 1871: 3.6327
Client 785: 3.6796
Client 327: 3.6968
Client 427: 3.6575
Client 1533: 3.6808
Client 991: 3.3251
Client 1473: 3.7704
Client 1725: 3.8266
Client 551: 3.4454
Client 480: 3.5346
Client 627: 2.8574
Client 1898: 3.6432
Client 958: 3.6635
Client 1278: 3.9345
Client 1060: 3.2729
Client 855: 3.4597
Client 101: 3.7135
Client 997: 3.8114
Client 778: 3.4886
Client 904: 3.5252
Client 1203: 3.6049
Client 1353: 3.5544
Client 1550: 3.4301
Client 422: 3.6154
Client 195: 3.5468
Client 611: 3.1920
Client 575: 4.2120
Client 1509: 3.4736
Client 1087: 3.5843
Client 1606: 3.8444
Client 1277: 3.4606
Client 296: 3.6944
Client 1422: 3.4924
Client 105: 3.6091
Client 1882: 3.8426
Client 228: 3.5118
Client 1709: 3.6013
Client 750: 3.5069
Client 939: 3.2539
Client 838: 3.5803
Client 1151: 3.4780
Client 976: 4.0679
Client 1904: 3.5776
Client 822: 3.6603
Client 450: 3.9571
Client 840: 2.9500
Client 297: 3.5634
Client 1381: 3.7487
Client 632: 4.1413
Client 139: 4.1956
Client 1452: 3.4547
Client 947: 3.8505
Client 1301: 3.5277
Client 530: 3.4668
Client 894: 3.7815
Client 1661: 3.5668
Client 1019: 3.5688
Client 1455: 4.1042
Client 1388: 3.3743
Client 1436: 3.3882
Client 1752: 3.5371
Client 1710: 3.7885
Client 73: 3.9395
Client 1751: 3.7842
Client 1042: 3.6243
Client 67: 3.8124
Client 1134: 4.0961
Client 1573: 3.2176
Client 1423: 4.0184
Round avg loss: 3.6195 (Best: 3.5764)

--- Round 8/20 ---
Client 1010: 3.5484
Client 1938: 3.5074
Client 1883: 3.8599
Client 1506: 3.3927
Client 1417: 3.7161
Client 1639: 3.8276
Client 1602: 3.7370
Client 12: 3.4826
Client 996: 3.7641
Client 160: 3.8680
Client 1579: 3.9239
Client 1375: 3.1416
Client 517: 3.3479
Client 373: 3.3454
Client 347: 3.2505
Client 574: 3.2983
Client 1207: 3.3650
Client 1485: 3.3115
Client 1016: 3.4965
Client 1970: 4.0151
Client 1111: 3.0139
Client 1721: 3.6453
Client 1655: 3.2786
Client 1230: 4.0418
Client 1116: 4.0160
Client 920: 4.0891
Client 1382: 3.7183
Client 1399: 3.7687
Client 781: 4.1267
Client 869: 3.8871
Client 1633: 4.0583
Client 1770: 3.7354
Client 1387: 3.7804
Client 1675: 3.2379
Client 1244: 3.8093
Client 1106: 3.0891
Client 1799: 3.3994
Client 1428: 3.7030
Client 1357: 2.9100
Client 195: 3.3525
Client 934: 3.6303
Client 1302: 3.7373
Client 509: 3.7289
Client 968: 3.5682
Client 1752: 3.3572
Client 36: 3.9995
Client 1952: 3.6616
Client 857: 3.2572
Client 442: 3.8593
Client 1225: 3.4543
Client 91: 4.0726
Client 1197: 4.0535
Client 1706: 3.6413
Client 1499: 3.9806
Client 770: 3.1694
Client 1093: 2.8744
Client 671: 3.9610
Client 1438: 3.7356
Client 181: 3.9101
Client 1632: 3.6889
Client 1045: 3.5744
Client 536: 3.8582
Client 1157: 3.6862
Client 1458: 3.8415
Client 1286: 3.6685
Client 1599: 3.2142
Client 582: 3.8759
Client 1007: 3.6131
Client 1927: 3.2232
Client 1885: 3.7935
Client 749: 3.5815
Client 497: 3.3209
Client 1746: 3.5968
Client 849: 3.2319
Client 1521: 3.7869
Client 1811: 3.6136
Client 201: 3.6247
Client 1751: 3.6433
Client 720: 3.6970
Client 428: 4.1098
Client 445: 3.9674
Client 774: 3.4894
Client 326: 4.0981
Client 133: 3.8451
Client 986: 3.5152
Client 105: 3.4101
Client 477: 3.5114
Client 1659: 3.5840
Client 118: 4.0134
Client 1530: 3.4492
Client 678: 3.7881
Client 1004: 3.6078
Client 1610: 3.4750
Client 123: 3.4294
Client 115: 3.4683
Client 907: 3.5512
Client 1971: 3.7640
Client 295: 3.7236
Client 243: 4.0815
Client 1005: 3.0126
Round avg loss: 3.6254 (Best: 3.5764)

--- Round 9/20 ---
Client 864: 3.3502
Client 67: 3.5559
Client 1569: 2.9518
Client 226: 3.4844
Client 500: 3.3912
Client 869: 3.7066
Client 710: 3.8130
Client 785: 3.4641
Client 1060: 3.1064
Client 970: 3.0949
Client 910: 3.7246
Client 1369: 3.5314
Client 1340: 3.4609
Client 1128: 4.0047
Client 1964: 3.3007
Client 1375: 3.0228
Client 7: 2.9928
Client 1581: 3.3543
Client 1443: 3.9056
Client 1058: 3.5506
Client 812: 3.6094
Client 1680: 3.3870
Client 242: 3.5049
Client 607: 3.7902
Client 1391: 3.6997
Client 1782: 3.5834
Client 1470: 3.5987
Client 1309: 3.8635
Client 1542: 3.2218
Client 1941: 3.9700
Client 1163: 3.1876
Client 798: 3.5336
Client 31: 3.4868
Client 954: 4.1030
Client 588: 3.5511
Client 1357: 2.7153
Client 1551: 3.6081
Client 1993: 3.9156
Client 401: 3.1897
Client 1658: 3.1887
Client 1374: 2.9350
Client 474: 3.8578
Client 658: 3.5848
Client 235: 3.7438
Client 1140: 3.0803
Client 1006: 3.6519
Client 1501: 3.6057
Client 215: 2.8932
Client 682: 2.6007
Client 144: 4.1391
Client 240: 3.3021
Client 861: 3.7102
Client 1974: 3.2811
Client 948: 3.7074
Client 929: 3.6298
Client 396: 3.5852
Client 1645: 3.5531
Client 348: 4.0172
Client 278: 3.8399
Client 134: 3.7609
Client 1371: 3.4511
Client 1503: 3.6034
Client 1630: 3.3647
Client 1141: 3.4073
Client 1158: 3.6844
Client 1989: 3.5396
Client 1446: 3.4074
Client 1495: 3.3636
Client 461: 3.5247
Client 280: 3.5580
Client 1228: 4.0309
Client 454: 4.3602
Client 1571: 3.4285
Client 562: 3.7481
Client 1775: 3.8674
Client 1067: 3.9369
Client 1281: 3.6703
Client 1266: 3.9943
Client 1328: 3.2743
Client 1083: 3.7855
Client 1590: 3.6769
Client 1897: 3.4880
Client 305: 3.6923
Client 395: 3.7803
Client 696: 3.8992
Client 169: 3.1830
Client 198: 3.4954
Client 135: 3.6280
Client 523: 3.0968
Client 293: 3.4101
Client 156: 4.1529
Client 193: 3.9450
Client 382: 3.6142
Client 1504: 3.5011
Client 1355: 3.6227
Client 380: 3.4624
Client 1024: 3.6825
Client 422: 3.4598
Client 609: 3.4371
Client 1154: 3.4861
Round avg loss: 3.5467 (Best: 3.5467)

--- Round 10/20 ---
Client 105: 3.2278
Client 696: 3.6987
Client 157: 3.8153
Client 331: 2.9789
Client 1488: 4.1634
Client 213: 3.5472
Client 33: 3.6148
Client 1831: 3.0763
Client 1824: 4.1007
Client 1104: 4.1246
Client 1542: 3.0228
Client 383: 3.5047
Client 464: 3.1852
Client 76: 3.1400
Client 583: 3.1734
Client 59: 3.4889
Client 1929: 3.9631
Client 224: 3.5856
Client 1588: 3.3994
Client 102: 3.6800
Client 659: 2.9003
Client 1297: 3.5297
Client 599: 3.5034
Client 1966: 3.5998
Client 1639: 3.6459
Client 781: 3.9427
Client 784: 3.3844
Client 294: 3.9015
Client 978: 3.4777
Client 1587: 3.5322
Client 747: 4.0777
Client 858: 4.2721
Client 830: 3.4608
Client 548: 3.5919
Client 1875: 3.7225
Client 827: 3.4569
Client 1282: 3.6503
Client 792: 3.4826
Client 1964: 3.1176
Client 483: 3.6110
